audio,text,Pilot Reply,Message Label
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_098.wav,gulf air zero zero seven radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_102.wav,good morning speedbird one two four radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_008.wav,lufthansa eight two six eight good morning climb to flight level two nine zero ,Climbing to requested flight level.,Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_123.wav,speedbird one two four contact rhein on one two seven three seven good day ,"Switching to the mentioned frequency, thank you.",Speed Adjustment
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_126.wav,belstar five zero two hotel rhein on one three two four ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_155.wav,alitalia four one three continue climb to level two nine zero ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_117.wav,ah good morning netherlands air force three five in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_073.wav,viva five eight five rhein ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_016.wav,fox sierra india guten tag climb to level two seven zero ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_152.wav,sabena eight zero one direct trasadingen ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_091.wav,sabena eight three two call rhein on one three correction one two seven three seven ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_009.wav,swissair six five two zero guten tag in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_071.wav,viva five eight five report your heading ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_069.wav,air malta zero zero four direct to frankfurt ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_034.wav,good bye ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_133.wav,alitalia four eight seven zurich one three four six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_056.wav,sobelair two five five seven call rhein on one three two decimal four ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_077.wav,aero lloyd [UNKNOWN] charlie papa alfa guten tag radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
